gameid,type,checkedTeamId,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,TOV,STL,BLK,PF,statsId
29600076,1,1610612741,39,90,7,24,12,17,15,33,48,11,8,3,19,151
29600076,1,1610612756,29,74,3,13,18,27,11,35,46,17,5,2,19,152
29600077,1,1610612759,33,77,6,15,21,29,10,26,36,18,9,8,31,153
29600077,1,1610612762,38,77,6,11,34,44,14,32,46,17,8,6,24,154
29600078,1,1610612758,36,79,5,13,17,25,11,21,32,17,7,5,17,155
29600078,1,1610612760,44,73,6,15,16,22,7,29,36,17,12,3,21,156
29600079,1,1610612752,39,81,6,15,13,19,14,28,42,14,7,4,34,157
29600079,1,1610612755,33,71,11,19,24,43,13,25,38,16,7,1,19,158
29600080,1,1610612765,33,75,12,24,14,18,11,31,42,15,8,2,20,159
29600080,1,1610612764,30,79,7,18,12,17,13,28,41,15,3,1,18,160
29600081,1,1610612766,36,69,10,18,15,21,9,27,36,20,6,5,23,161
29600081,1,1610612748,41,89,7,20,16,18,17,20,37,14,10,8,24,162
29600082,1,1610612737,32,76,7,22,16,19,12,22,34,13,5,5,22,163
29600082,1,1610612739,30,68,8,23,15,23,13,25,38,18,6,5,22,164
29600083,1,1610612749,39,95,2,9,19,24,22,38,60,17,8,6,16,165
29600083,1,1610612756,38,89,4,18,9,14,10,30,40,19,7,4,22,166
29600084,1,1610612750,36,79,4,8,24,37,15,29,44,15,8,9,32,167
29600084,1,1610612757,30,78,9,21,28,40,13,28,41,13,7,5,25,168
29600085,1,1610612742,43,86,8,21,9,15,14,37,51,19,7,12,24,169
29600085,1,1610612754,29,81,6,12,18,27,16,27,43,19,8,9,21,170
29600086,1,1610612745,42,98,11,37,20,27,18,28,46,17,6,10,20,171
29600086,1,1610612747,46,100,10,27,24,31,18,30,48,14,5,6,27,172
29600087,1,1610612744,39,81,11,19,13,19,12,24,36,19,4,1,20,173
29600087,1,1610612760,49,86,8,18,15,24,9,23,32,9,11,6,21,174
29600088,1,1610612746,37,94,4,18,21,27,16,36,52,15,11,8,27,175
29600088,1,1610612637,33,81,8,16,18,23,11,36,47,17,11,10,28,176
29600089,1,1610612737,31,76,11,27,12,22,14,27,41,25,10,5,18,177
29600089,1,1610612738,39,78,11,21,14,18,11,33,44,22,12,4,21,178
29600090,1,1610612751,36,89,2,10,17,23,28,30,58,31,5,10,24,179
29600090,1,1610612764,42,82,3,12,19,26,13,26,39,20,16,8,23,180
29600091,1,1610612755,36,80,9,25,17,24,16,19,35,19,11,5,21,181
29600091,1,1610612761,39,90,11,21,21,22,22,29,51,23,10,11,24,182
29600092,1,1610612739,32,77,6,14,11,11,7,29,36,14,9,7,21,183
29600092,1,1610612757,28,74,5,13,9,16,11,34,45,21,6,6,21,184
29600093,1,1610612743,35,82,10,17,14,17,8,30,38,13,6,5,24,185
29600093,1,1610612765,37,86,6,12,15,21,15,31,46,11,5,1,21,186
29600094,1,1610612741,36,80,3,7,28,36,10,38,48,7,6,3,21,187
29600094,1,1610612748,27,75,3,16,14,24,7,32,39,15,2,3,32,188
29600095,1,1610612747,30,76,8,23,15,20,13,21,34,23,9,6,21,189
29600095,1,1610612759,38,75,8,20,11,19,15,28,43,20,13,7,19,190
29600096,1,1610612758,26,76,2,13,20,28,10,29,39,17,5,7,27,191
29600096,1,1610612762,38,77,5,9,24,35,11,37,48,16,10,7,20,192
29600097,1,1610612752,34,69,6,14,25,36,15,30,45,24,5,7,25,193
29600097,1,1610612761,34,75,7,27,21,26,5,25,30,13,15,8,26,194
29600098,1,1610612766,34,78,7,17,14,17,12,23,35,12,5,6,22,195
29600098,1,1610612753,39,85,8,20,10,19,18,33,51,11,7,6,17,196
29600099,1,1610612742,33,81,3,13,21,33,14,30,44,21,9,4,26,197
29600099,1,1610612750,40,84,1,8,19,23,13,35,48,20,11,13,25,198
29600100,1,1610612745,29,70,6,22,26,37,12,28,40,20,7,7,24,199
29600100,1,1610612754,33,77,3,13,19,29,12,31,43,18,9,3,33,200
29600101,1,1610612746,30,72,3,9,15,25,12,30,42,20,7,9,21,201
29600101,1,1610612760,37,80,7,18,13,20,13,30,43,16,14,5,22,202
29600102,1,1610612744,39,77,1,10,16,23,9,25,34,11,7,8,14,203
29600102,1,1610612749,37,82,2,12,10,11,15,29,44,16,6,3,21,204
29600103,1,1610612756,34,82,6,19,15,19,15,34,49,22,5,3,20,205
29600103,1,1610612637,37,88,6,27,12,16,12,24,36,11,12,6,17,206
29600104,1,1610612738,30,77,1,16,19,23,10,31,41,18,6,12,23,207
29600104,1,1610612743,28,81,8,20,18,22,16,32,48,20,10,6,24,208
29600105,1,1610612751,29,86,7,21,20,28,20,30,50,20,3,8,31,209
29600105,1,1610612757,30,71,2,18,31,40,7,32,39,14,7,4,21,210
29600106,1,1610612739,40,80,8,17,17,24,9,29,38,14,12,4,28,211
29600106,1,1610612755,30,81,7,18,22,28,18,31,49,22,4,4,20,212
29600107,1,1610612766,34,89,7,22,12,15,13,22,35,14,7,4,19,213
29600107,1,1610612741,46,83,7,16,11,14,14,31,45,20,9,3,16,214
29600108,1,1610612737,22,60,4,15,37,48,16,35,51,17,10,8,18,215
29600108,1,1610612748,30,77,9,22,8,14,10,25,35,14,7,3,33,216
29600109,1,1610612765,38,68,5,10,14,15,6,24,30,12,5,0,19,217
29600109,1,1610612764,34,72,8,19,8,10,9,21,30,16,6,3,17,218
29600110,1,1610612754,30,65,7,20,26,35,10,37,47,17,7,4,19,219
29600110,1,1610612759,29,76,7,26,13,20,8,23,31,13,9,3,23,220
29600111,1,1610612762,41,78,1,7,21,30,18,40,58,18,3,10,17,221
29600111,1,1610612637,39,89,5,17,13,21,12,23,35,8,10,4,24,222
29600112,1,1610612746,41,81,4,10,14,23,16,25,41,22,12,3,31,223
29600112,1,1610612747,37,73,6,15,27,40,12,25,37,20,13,5,25,224
29600113,1,1610612749,34,79,6,14,25,35,15,27,42,11,5,7,21,225
29600113,1,1610612758,41,77,4,10,17,23,10,29,39,14,3,4,26,226
29600114,1,1610612750,27,73,3,8,22,28,12,19,31,21,9,1,25,227
29600114,1,1610612752,31,64,4,13,16,24,9,31,40,27,11,7,24,228
29600115,1,1610612743,37,84,9,22,16,25,8,29,37,16,6,6,28,229
29600115,1,1610612751,39,89,4,13,24,36,18,34,52,16,10,7,26,230
29600116,1,1610612738,39,88,3,14,11,17,10,31,41,11,5,2,21,231
29600116,1,1610612764,44,85,3,13,15,21,10,32,42,9,3,5,19,232
29600117,1,1610612753,34,76,9,19,15,19,19,26,45,19,7,2,15,233
29600117,1,1610612761,35,77,7,22,10,11,11,19,30,17,11,3,21,234
29600118,1,1610612748,34,79,7,23,14,17,16,28,44,23,11,3,28,235
29600118,1,1610612755,29,67,8,16,25,33,10,24,34,20,10,7,22,236
29600119,1,1610612739,33,65,11,21,21,30,10,25,35,10,1,2,32,237
29600119,1,1610612765,31,64,7,15,33,40,11,21,32,9,4,4,25,238
29600120,1,1610612737,26,80,3,13,14,21,15,25,40,12,6,3,17,239
29600120,1,1610612741,41,81,7,17,8,10,9,35,44,10,2,4,20,240
29600121,1,1610612742,32,78,6,20,17,27,14,35,49,19,6,1,29,241
29600121,1,1610612762,28,75,9,13,23,29,13,29,42,18,6,6,28,242
29600122,1,1610612744,43,95,3,15,14,18,19,20,39,17,17,3,18,243
29600122,1,1610612745,43,74,10,21,19,23,10,34,44,28,11,5,15,244
29600123,1,1610612758,33,69,5,13,25,32,8,29,37,20,4,3,28,245
29600123,1,1610612760,35,76,7,16,31,40,12,25,37,10,12,5,23,246
29600124,1,1610612754,28,73,6,14,21,30,12,26,38,9,6,3,16,247
29600124,1,1610612757,34,76,4,18,16,19,14,37,51,12,6,7,20,248
29600125,1,1610612744,36,71,8,17,22,27,9,31,40,14,9,7,23,249
29600125,1,1610612759,38,88,4,24,12,19,17,23,40,12,9,8,22,250
29600126,1,1610612747,34,69,10,24,24,35,6,36,42,20,9,2,19,251
29600126,1,1610612756,36,85,4,19,12,15,11,27,38,14,12,1,18,252
29600127,1,1610612746,40,85,4,8,18,23,15,32,47,17,10,9,19,253
29600127,1,1610612749,37,85,5,13,15,20,12,25,37,14,11,7,16,254
29600128,1,1610612760,31,77,5,21,24,33,12,26,38,14,17,7,21,255
29600128,1,1610612637,30,75,7,21,14,17,17,31,48,25,8,4,29,256
29600129,1,1610612758,36,82,0,9,12,15,23,27,50,15,5,2,24,257
29600129,1,1610612637,32,73,6,15,13,22,11,20,31,12,6,5,19,258
29600130,1,1610612752,33,71,5,10,21,27,13,39,52,27,8,11,33,259
29600130,1,1610612753,27,76,6,18,28,37,7,24,31,15,10,3,23,260
29600131,1,1610612760,35,74,6,22,30,42,11,32,43,21,14,7,25,261
29600131,1,1610612761,32,90,11,30,23,28,19,24,43,20,13,3,26,262
29600132,1,1610612737,23,71,7,23,10,15,10,31,41,16,7,7,20,263
29600132,1,1610612739,30,81,6,14,7,9,14,36,50,13,3,7,16,264
29600133,1,1610612742,33,72,10,22,21,32,11,33,44,20,8,1,31,265
29600133,1,1610612749,37,79,4,12,22,33,9,28,37,11,10,1,25,266
29600134,1,1610612745,45,81,10,20,22,30,10,40,50,15,8,3,15,267
29600134,1,1610612750,38,94,7,21,10,17,14,27,41,12,8,6,19,268
29600135,1,1610612743,31,72,3,15,21,28,16,30,46,24,3,10,23,269
29600135,1,1610612748,39,72,9,14,17,28,7,23,30,15,12,2,24,270
29600136,1,1610612744,41,80,14,26,13,18,10,27,37,15,3,3,22,271
29600136,1,1610612747,46,80,8,15,12,23,9,27,36,13,9,6,22,272
29600137,1,1610612757,37,89,3,12,15,21,20,27,47,9,7,1,16,273
29600137,1,1610612758,39,83,8,15,4,7,11,33,44,18,5,6,25,274
29600138,1,1610612738,31,77,1,11,20,24,18,23,41,21,9,2,21,275
29600138,1,1610612765,39,76,6,16,24,27,10,27,37,14,12,5,20,276
29600139,1,1610612754,40,76,7,17,16,23,11,26,37,15,9,6,29,277
29600139,1,1610612755,30,72,14,35,18,25,15,25,40,22,5,4,19,278
29600140,1,1610612760,39,89,8,21,29,37,11,38,49,21,12,7,28,279
29600140,1,1610612764,41,106,11,30,17,25,23,35,58,20,7,13,29,280
29600141,1,1610612766,33,75,4,10,23,31,8,27,35,17,11,4,26,281
29600141,1,1610612752,30,68,5,13,21,27,8,29,37,20,4,5,31,282
29600142,1,1610612746,34,73,6,18,19,26,12,26,38,15,6,5,19,283
29600142,1,1610612759,28,75,3,18,22,27,17,22,39,15,10,3,24,284
29600143,1,1610612741,45,92,9,20,14,22,16,33,49,17,8,9,25,285
29600143,1,1610612756,40,93,5,16,14,21,15,31,46,16,10,0,29,286
29600144,1,1610612747,36,84,9,22,16,27,16,23,39,15,4,5,26,287
29600144,1,1610612762,40,72,3,12,30,36,7,35,42,13,11,5,28,288
29600145,1,1610612748,33,78,11,23,17,24,18,30,48,17,8,10,19,289
29600145,1,1610612637,25,62,5,15,20,24,5,26,31,22,8,9,22,290
29600146,1,1610612750,34,74,4,12,14,21,7,25,32,11,8,7,30,291
29600146,1,1610612753,34,81,3,19,19,33,18,28,46,14,5,5,14,292
29600147,1,1610612739,32,65,7,18,18,26,8,25,33,16,9,1,21,293
29600147,1,1610612761,28,67,7,16,18,21,10,24,34,18,9,1,20,294
29600148,1,1610612765,33,74,7,16,23,27,11,32,43,14,7,4,16,295
29600148,1,1610612751,37,83,7,19,7,10,10,27,37,15,7,3,19,296
29600149,1,1610612766,29,71,11,17,21,32,12,30,42,13,11,4,17,297
29600149,1,1610612754,35,77,4,11,13,20,10,32,42,14,5,5,24,298
29600150,1,1610612737,28,69,1,11,16,26,10,33,43,14,6,8,24,299
29600150,1,1610612749,26,78,2,17,11,18,14,27,41,10,8,5,23,300
29600151,1,1610612742,35,70,5,11,30,41,14,28,42,12,8,3,20,301
29600151,1,1610612746,36,85,5,20,17,20,18,27,45,13,7,0,26,302
29600152,1,1610612745,40,77,7,26,28,37,13,32,45,18,9,4,16,303
29600152,1,1610612756,44,89,8,19,9,12,10,22,32,14,11,3,25,304
29600153,1,1610612741,40,81,2,11,28,47,15,31,46,14,8,6,25,305
29600153,1,1610612743,30,87,6,20,26,32,16,32,48,16,11,5,34,306
29600154,1,1610612744,32,82,6,21,34,43,15,29,44,17,7,6,32,307
29600154,1,1610612762,40,83,3,14,26,36,16,33,49,22,9,5,33,308
29600155,1,1610612738,27,83,10,26,27,37,17,29,46,20,6,4,23,309
29600155,1,1610612760,45,86,9,18,19,26,11,34,45,13,10,6,22,310
29600156,1,1610612755,31,82,2,17,12,17,16,32,48,26,12,4,19,311
29600156,1,1610612764,36,81,3,15,13,21,14,31,45,23,13,9,21,312
29600157,1,1610612747,35,70,6,18,20,28,13,24,37,18,13,3,18,313
29600157,1,1610612759,36,72,3,12,11,20,13,25,38,21,9,3,24,314
29600158,1,1610612748,36,84,8,22,31,39,17,38,55,20,9,6,29,315
29600158,1,1610612758,40,90,6,13,22,29,10,32,42,13,8,2,32,316
29600159,1,1610612742,34,76,2,13,21,32,11,25,36,17,11,2,17,317
29600159,1,1610612751,44,94,13,25,13,16,23,27,50,16,13,11,29,318
29600160,1,1610612752,33,71,3,13,23,29,9,25,34,21,11,3,30,319
29600160,1,1610612755,36,72,11,21,26,40,9,29,38,17,14,3,17,320
29600161,1,1610612766,33,66,8,13,19,26,5,27,32,11,4,4,22,321
29600161,1,1610612765,32,73,9,21,12,17,8,28,36,11,2,1,27,322
29600162,1,1610612737,32,62,6,15,21,26,8,22,30,22,5,4,20,323
29600162,1,1610612761,35,82,6,22,12,14,16,20,36,16,10,3,24,324
29600163,1,1610612754,27,65,3,12,16,21,6,24,30,18,12,1,25,325
29600163,1,1610612753,27,61,7,14,15,19,10,29,39,27,8,2,24,326
29600164,1,1610612749,37,82,3,8,13,19,13,32,45,17,1,2,24,327
29600164,1,1610612764,37,83,1,9,20,30,12,29,41,8,12,5,19,328
29600165,1,1610612746,31,70,4,9,30,45,13,16,29,14,10,5,28,329
29600165,1,1610612750,35,66,2,9,26,34,14,26,40,21,7,8,32,330
